ticker,date,open,high,low,close,volume,ingested_at,source,daily_return,ma_5,ma_20,rsi_14,volatility_20d,price_vs_ma20,processed_at,rel_return_vs_index
MARUTI.NS,2025-09-29,16300.0,16340.0,15950.0,15984.0,627326,2026-03-19T05:07:04.148768+00:00,yfinance,-0.018544,16177.0,15524.9,70.08,0.012372,0.029572,2026-03-19T05:07:25.415957,-0.016732
MARUTI.NS,2025-09-30,15985.0,16054.0,15921.0,16029.0,390006,2026-03-19T05:07:04.148768+00:00,yfinance,0.002815,16163.4,15584.25,70.78,0.012276,0.028538,2026-03-19T05:07:25.415957,-0.001187
MARUTI.NS,2025-10-01,16026.0,16109.0,15850.0,15965.0,426075,2026-03-19T05:07:04.148768+00:00,yfinance,-0.003993,16106.6,15636.15,68.32,0.012392,0.021031,2026-03-19T05:07:25.415957,-0.012519
MARUTI.NS,2025-10-03,15949.0,16025.0,15736.0,15806.0,470216,2026-03-19T05:07:04.148768+00:00,yfinance,-0.009959,16014.0,15693.35,62.5,0.011799,0.007178,2026-03-19T05:07:25.415957,-0.009378
MARUTI.NS,2025-10-06,15840.0,16057.0,15708.0,15998.0,268497,2026-03-19T05:07:04.148768+00:00,yfinance,0.012147,15956.4,15748.5,66.24,0.011626,0.015843,2026-03-19T05:07:25.415957,0.008256
MARUTI.NS,2025-10-07,16014.0,16159.0,15977.0,16108.0,330326,2026-03-19T05:07:04.148768+00:00,yfinance,0.006876,15981.2,15791.0,68.2,0.010597,0.020075,2026-03-19T05:07:25.415957,0.004033
MARUTI.NS,2025-10-08,16108.0,16236.0,15979.0,16012.0,306518,2026-03-19T05:07:04.148768+00:00,yfinance,-0.00596,15977.8,15823.35,64.67,0.01072,0.011922,2026-03-19T05:07:25.415957,0.009305
MARUTI.NS,2025-10-09,16070.0,16075.0,15853.0,15985.0,300499,2026-03-19T05:07:04.148768+00:00,yfinance,-0.001686,15981.8,15867.2,63.68,0.009818,0.007424,2026-03-19T05:07:25.415957,-0.004122
MARUTI.NS,2025-10-10,15980.0,16315.0,15911.0,16265.0,423031,2026-03-19T05:07:04.148768+00:00,yfinance,0.017516,16073.6,15925.7,69.01,0.010298,0.021305,2026-03-19T05:07:25.415957,0.012468
MARUTI.NS,2025-10-13,16264.0,16432.0,16218.0,16323.0,337617,2026-03-19T05:07:04.148768+00:00,yfinance,0.003566,16138.6,15975.6,69.99,0.00994,0.021746,2026-03-19T05:07:25.415957,0.004429
MARUTI.NS,2025-10-14,16350.0,16350.0,16121.0,16261.0,307925,2026-03-19T05:07:04.148768+00:00,yfinance,-0.003798,16169.2,16025.4,67.53,0.009936,0.014702,2026-03-19T05:07:25.415957,-0.001641
MARUTI.NS,2025-10-15,16300.0,16380.0,16200.0,16212.0,266435,2026-03-19T05:07:04.148768+00:00,yfinance,-0.003013,16209.2,16057.35,65.56,0.009176,0.009631,2026-03-19T05:07:25.415957,-0.005569
MARUTI.NS,2025-10-16,16246.0,16332.0,16200.0,16298.0,265727,2026-03-19T05:07:04.148768+00:00,yfinance,0.005305,16271.8,16082.2,67.36,0.008728,0.013419,2026-03-19T05:07:25.415957,-0.007429
MARUTI.NS,2025-10-17,16298.0,16549.0,16298.0,16401.0,411608,2026-03-19T05:07:04.148768+00:00,yfinance,0.00632,16299.0,16111.4,69.41,0.00879,0.017975,2026-03-19T05:07:25.415957,-0.000329
MARUTI.NS,2025-10-20,16500.0,16518.0,16380.0,16424.0,374246,2026-03-19T05:07:04.148768+00:00,yfinance,0.001402,16319.2,16139.4,69.87,0.008787,0.017634,2026-03-19T05:07:25.415957,0.002987
MARUTI.NS,2025-10-21,16453.0,16476.0,16330.0,16396.0,28990,2026-03-19T05:07:04.148768+00:00,yfinance,-0.001705,16346.2,16168.4,68.53,0.008754,0.014077,2026-03-19T05:07:25.415957,-0.003338
MARUTI.NS,2025-10-23,16660.0,16660.0,16340.0,16393.0,481753,2026-03-19T05:07:04.148768+00:00,yfinance,-0.000183,16382.4,16183.2,68.38,0.007915,0.012964,2026-03-19T05:07:25.415957,0.000225
MARUTI.NS,2025-10-24,16392.0,16423.0,16200.0,16274.0,208520,2026-03-19T05:07:04.148768+00:00,yfinance,-0.007259,16377.6,16184.45,62.48,0.007851,0.005533,2026-03-19T05:07:25.415957,-0.003216
MARUTI.NS,2025-10-27,16350.0,16410.0,16275.0,16388.0,209829,2026-03-19T05:07:04.148768+00:00,yfinance,0.007005,16375.0,16190.4,65.55,0.008,0.012205,2026-03-19T05:07:25.415957,0.001289
MARUTI.NS,2025-10-28,16399.0,16495.0,16261.0,16311.0,383383,2026-03-19T05:07:04.148768+00:00,yfinance,-0.004699,16352.4,16191.65,61.87,0.008078,0.007371,2026-03-19T05:07:25.415957,-0.00047
MARUTI.NS,2025-10-29,16360.0,16428.0,16046.0,16138.0,232815,2026-03-19T05:07:04.148768+00:00,yfinance,-0.010606,16300.8,16199.35,54.47,0.007267,-0.003787,2026-03-19T05:07:25.415957,-0.003259
MARUTI.NS,2025-10-30,16190.0,16275.0,16077.0,16206.0,230383,2026-03-19T05:07:04.148768+00:00,yfinance,0.004214,16263.4,16208.2,56.67,0.007298,-0.000136,2026-03-19T05:07:25.415957,0.008643
MARUTI.NS,2025-10-31,16204.0,16516.0,15949.0,16186.0,719402,2026-03-19T05:07:04.148768+00:00,yfinance,-0.001234,16245.8,16219.25,55.82,0.007232,-0.00205,2026-03-19T05:07:25.415957,-0.0005
MARUTI.NS,2025-11-03,16016.0,16100.0,15530.0,15651.0,942850,2026-03-19T05:07:04.148768+00:00,yfinance,-0.033053,16098.4,16211.5,38.96,0.010243,-0.034574,2026-03-19T05:07:25.415957,-0.034245
MARUTI.NS,2025-11-04,15607.0,15633.0,15355.0,15374.0,748848,2026-03-19T05:07:04.148768+00:00,yfinance,-0.017699,15911.0,16180.3,33.34,0.010484,-0.049832,2026-03-19T05:07:25.415957,-0.009065
MARUTI.NS,2025-11-06,15534.0,15534.0,15309.0,15452.0,429800,2026-03-19T05:07:04.148768+00:00,yfinance,0.005074,15773.8,16147.5,36.13,0.010411,-0.043072,2026-03-19T05:07:25.415957,0.004456
MARUTI.NS,2025-11-07,15459.0,15499.0,15260.0,15479.0,227247,2026-03-19T05:07:04.148768+00:00,yfinance,0.001747,15628.4,16120.85,37.11,0.010401,-0.039815,2026-03-19T05:07:25.415957,-0.004001
